wheel-base,length,width,curb-weight,num-of-cylinders,engine-size,bore,horsepower,city-mpg,highway-mpg,price,wheel-base,length,width,curb-weight,num-of-cylinders,engine-size,bore,horsepower,city-mpg,highway-mpg,price,make_alfa-romero,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,fuel-type_diesel,fuel-type_gas,aspiration_std,aspiration_turbo,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-location_rear,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,fuel-system_1bbl,fuel-system_2bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi
101.2,176.8,64.8,2395,4.0,108,3.5,101.0,23,29,16925.0,101.2,176.8,64.8,2395,4.0,108,3.5,101.0,23,29,16925.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
101.2,176.8,64.8,2710,6.0,164,3.31,121.0,21,28,20970.0,101.2,176.8,64.8,2710,6.0,164,3.31,121.0,21,28,20970.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
101.2,176.8,64.8,2765,6.0,164,3.31,121.0,21,28,21105.0,101.2,176.8,64.8,2765,6.0,164,3.31,121.0,21,28,21105.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
103.5,189.0,66.9,3055,6.0,164,3.31,121.0,20,25,24565.0,103.5,189.0,66.9,3055,6.0,164,3.31,121.0,20,25,24565.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
103.5,189.0,66.9,3230,6.0,209,3.62,182.0,16,22,29680.5,103.5,189.0,66.9,3230,6.0,209,3.62,182.0,16,22,29680.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
103.5,193.8,67.9,3380,6.0,209,3.62,182.0,16,22,29680.5,103.5,193.8,67.9,3380,6.0,209,3.62,182.0,16,22,29680.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
110.0,197.0,70.9,3505,6.0,209,3.62,182.0,15,20,29680.5,110.0,197.0,70.9,3505,6.0,209,3.62,182.0,15,20,29680.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
88.4,141.1,60.3,1488,3.0,61,2.91,48.0,47,53,5151.0,88.4,141.1,60.3,1488,3.0,61,2.91,48.0,47,53,5151.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
94.5,155.9,63.6,1874,4.0,90,3.03,70.0,38,43,6295.0,94.5,155.9,63.6,1874,4.0,90,3.03,70.0,38,43,6295.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
94.5,158.8,63.6,1909,4.0,90,3.03,70.0,38,43,6575.0,94.5,158.8,63.6,1909,4.0,90,3.03,70.0,38,43,6575.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
93.7,157.3,63.8,1876,4.0,90,2.97,68.0,37,41,5572.0,93.7,157.3,63.8,1876,4.0,90,2.97,68.0,37,41,5572.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
93.7,157.3,63.8,1876,4.0,90,2.97,68.0,31,38,6377.0,93.7,157.3,63.8,1876,4.0,90,2.97,68.0,31,38,6377.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
93.7,157.3,63.8,2128,4.0,98,3.03,102.0,24,30,7957.0,93.7,157.3,63.8,2128,4.0,98,3.03,102.0,24,30,7957.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
93.7,157.3,63.8,1967,4.0,90,2.97,68.0,31,38,6229.0,93.7,157.3,63.8,1967,4.0,90,2.97,68.0,31,38,6229.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
93.7,157.3,63.8,1989,4.0,90,2.97,68.0,31,38,6692.0,93.7,157.3,63.8,1989,4.0,90,2.97,68.0,31,38,6692.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
93.7,157.3,63.8,1989,4.0,90,2.97,68.0,31,38,7609.0,93.7,157.3,63.8,1989,4.0,90,2.97,68.0,31,38,7609.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
103.3,174.6,64.6,2535,4.0,122,3.34,88.0,24,30,8921.0,103.3,174.6,64.6,2535,4.0,122,3.34,88.0,24,30,8921.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
95.9,173.2,66.3,2811,4.0,156,3.6,145.0,19,24,12964.0,95.9,173.2,66.3,2811,4.0,156,3.6,145.0,19,24,12964.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
86.6,144.6,63.9,1713,4.0,92,2.91,58.0,49,54,6479.0,86.6,144.6,63.9,1713,4.0,92,2.91,58.0,49,54,6479.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
86.6,144.6,63.9,1819,4.0,92,2.91,76.0,31,38,6855.0,86.6,144.6,63.9,1819,4.0,92,2.91,76.0,31,38,6855.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
93.7,150.0,64.0,1837,4.0,79,2.91,60.0,38,42,5399.0,93.7,150.0,64.0,1837,4.0,79,2.91,60.0,38,42,5399.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
93.7,150.0,64.0,1940,4.0,92,2.91,76.0,30,34,6529.0,93.7,150.0,64.0,1940,4.0,92,2.91,76.0,30,34,6529.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
93.7,150.0,64.0,1956,4.0,92,2.91,76.0,30,34,7129.0,93.7,150.0,64.0,1956,4.0,92,2.91,76.0,30,34,7129.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
96.5,163.4,64.0,2010,4.0,92,2.91,76.0,30,34,7295.0,96.5,163.4,64.0,2010,4.0,92,2.91,76.0,30,34,7295.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
96.5,157.1,63.9,2024,4.0,92,2.92,76.0,30,34,7295.0,96.5,157.1,63.9,2024,4.0,92,2.92,76.0,30,34,7295.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
96.5,167.5,65.2,2236,4.0,110,3.15,86.0,27,33,7895.0,96.5,167.5,65.2,2236,4.0,110,3.15,86.0,27,33,7895.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
96.5,167.5,65.2,2289,4.0,110,3.15,86.0,27,33,9095.0,96.5,167.5,65.2,2289,4.0,110,3.15,86.0,27,33,9095.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
96.5,175.4,65.2,2304,4.0,110,3.15,86.0,27,33,8845.0,96.5,175.4,65.2,2304,4.0,110,3.15,86.0,27,33,8845.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
96.5,175.4,62.5,2372,4.0,110,3.15,86.0,27,33,10295.0,96.5,175.4,62.5,2372,4.0,110,3.15,86.0,27,33,10295.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
96.5,175.4,65.2,2465,4.0,110,3.15,101.0,24,28,12945.0,96.5,175.4,65.2,2465,4.0,110,3.15,101.0,24,28,12945.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
96.5,169.1,66.0,2293,4.0,110,3.15,100.0,25,31,10345.0,96.5,169.1,66.0,2293,4.0,110,3.15,100.0,25,31,10345.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
94.3,170.7,61.8,2337,4.0,111,3.31,78.0,24,29,6785.0,94.3,170.7,61.8,2337,4.0,111,3.31,78.0,24,29,6785.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False
96.0,172.6,65.2,2734,4.0,119,3.43,90.0,24,29,11048.0,96.0,172.6,65.2,2734,4.0,119,3.43,90.0,24,29,11048.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True
113.0,199.6,69.6,4066,6.0,258,3.63,176.0,15,19,29680.5,113.0,199.6,69.6,4066,6.0,258,3.63,176.0,15,19,29680.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
113.0,199.6,69.6,4066,6.0,258,3.63,176.0,15,19,29680.5,113.0,199.6,69.6,4066,6.0,258,3.63,176.0,15,19,29680.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
102.0,191.7,70.6,3950,12.0,326,3.54,262.0,13,17,29680.5,102.0,191.7,70.6,3950,12.0,326,3.54,262.0,13,17,29680.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
93.1,159.1,64.2,1890,4.0,91,3.03,68.0,30,31,5195.0,93.1,159.1,64.2,1890,4.0,91,3.03,68.0,30,31,5195.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
93.1,159.1,64.2,1900,4.0,91,3.03,68.0,31,38,6095.0,93.1,159.1,64.2,1900,4.0,91,3.03,68.0,31,38,6095.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
93.1,159.1,64.2,1905,4.0,91,3.03,68.0,31,38,6795.0,93.1,159.1,64.2,1905,4.0,91,3.03,68.0,31,38,6795.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
93.1,166.8,64.2,1945,4.0,91,3.03,68.0,31,38,6695.0,93.1,166.8,64.2,1945,4.0,91,3.03,68.0,31,38,6695.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
93.1,166.8,64.2,1950,4.0,91,3.08,68.0,31,38,7395.0,93.1,166.8,64.2,1950,4.0,91,3.08,68.0,31,38,7395.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
98.8,177.8,66.5,2385,4.0,122,3.39,84.0,26,32,8845.0,98.8,177.8,66.5,2385,4.0,122,3.39,84.0,26,32,8845.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
98.8,177.8,66.5,2410,4.0,122,3.39,84.0,26,32,8495.0,98.8,177.8,66.5,2410,4.0,122,3.39,84.0,26,32,8495.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
98.8,177.8,66.5,2385,4.0,122,3.39,84.0,26,32,10595.0,98.8,177.8,66.5,2385,4.0,122,3.39,84.0,26,32,10595.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
98.8,177.8,66.5,2410,4.0,122,3.39,84.0,26,32,10245.0,98.8,177.8,66.5,2410,4.0,122,3.39,84.0,26,32,10245.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
98.8,177.8,66.5,2425,4.0,122,3.39,84.0,26,32,11245.0,98.8,177.8,66.5,2425,4.0,122,3.39,84.0,26,32,11245.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
104.9,175.0,66.1,2670,4.0,140,3.76,120.0,19,27,18280.0,104.9,175.0,66.1,2670,4.0,140,3.76,120.0,19,27,18280.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
104.9,175.0,66.1,2700,4.0,134,3.43,72.0,31,39,18344.0,104.9,175.0,66.1,2700,4.0,134,3.43,72.0,31,39,18344.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
110.0,190.9,70.3,3515,5.0,183,3.58,123.0,22,25,25552.0,110.0,190.9,70.3,3515,5.0,183,3.58,123.0,22,25,25552.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
110.0,190.9,70.3,3750,5.0,183,3.58,123.0,22,25,28248.0,110.0,190.9,70.3,3750,5.0,183,3.58,123.0,22,25,28248.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
106.7,187.5,70.3,3495,5.0,183,3.58,123.0,22,25,28176.0,106.7,187.5,70.3,3495,5.0,183,3.58,123.0,22,25,28176.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
115.6,202.6,71.7,3770,5.0,183,3.58,123.0,22,25,29680.5,115.6,202.6,71.7,3770,5.0,183,3.58,123.0,22,25,29680.5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
115.6,202.6,71.7,3740,8.0,234,3.46,155.0,16,18,29680.5,115.6,202.6,71.7,3740,8.0,234,3.46,155.0,16,18,29680.5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
96.6,180.3,70.5,3685,8.0,234,3.46,155.0,16,18,29680.5,96.6,180.3,70.5,3685,8.0,234,3.46,155.0,16,18,29680.5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
120.9,208.1,71.7,3900,8.0,308,3.8,184.0,14,16,29680.5,120.9,208.1,71.7,3900,8.0,308,3.8,184.0,14,16,29680.5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
112.0,199.2,72.0,3715,8.0,304,3.8,184.0,14,16,29680.5,112.0,199.2,72.0,3715,8.0,304,3.8,184.0,14,16,29680.5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
102.7,178.4,68.0,2910,4.0,140,3.78,175.0,19,24,16503.0,102.7,178.4,68.0,2910,4.0,140,3.78,175.0,19,24,16503.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
93.7,157.3,64.4,1918,4.0,92,2.97,68.0,37,41,5389.0,93.7,157.3,64.4,1918,4.0,92,2.97,68.0,37,41,5389.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
93.7,157.3,64.4,1944,4.0,92,2.97,68.0,31,38,6189.0,93.7,157.3,64.4,1944,4.0,92,2.97,68.0,31,38,6189.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
93.7,157.3,64.4,2004,4.0,92,2.97,68.0,31,38,6669.0,93.7,157.3,64.4,2004,4.0,92,2.97,68.0,31,38,6669.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
93.0,157.3,63.8,2145,4.0,98,3.03,102.0,24,30,7689.0,93.0,157.3,63.8,2145,4.0,98,3.03,102.0,24,30,7689.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
96.3,173.0,65.4,2370,4.0,110,3.17,116.0,23,30,9959.0,96.3,173.0,65.4,2370,4.0,110,3.17,116.0,23,30,9959.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
96.3,173.0,65.4,2328,4.0,122,3.35,88.0,25,32,8499.0,96.3,173.0,65.4,2328,4.0,122,3.35,88.0,25,32,8499.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
95.9,173.2,66.3,2833,4.0,156,3.58,145.0,19,24,12629.0,95.9,173.2,66.3,2833,4.0,156,3.58,145.0,19,24,12629.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
95.9,173.2,66.3,2921,4.0,156,3.59,145.0,19,24,14869.0,95.9,173.2,66.3,2921,4.0,156,3.59,145.0,19,24,14869.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
95.9,173.2,66.3,2926,4.0,156,3.59,145.0,19,24,14489.0,95.9,173.2,66.3,2926,4.0,156,3.59,145.0,19,24,14489.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
